srno,project_name,difficulty_score,7_segment_display_0.56_inch_white,arduino,battery,breadboard_power_supply,breadboard_white,capacitor,DC_motor,diode,gps_module_GY-NEO6MV2,hc05_bluetooth_module,ir_sensor_module_lm393_blue_proximity_sensor,jetson_nano,jumper_wire,l298n_motor_driver,lcd_dispplay_module_green_1602A,ldr_5mm,led_3v_through_hole_5mm,led_dot_matrix_module_8x8_max7219,linear_potentiometer_module_red,mpu6050_module_blue,oled_display,pir_sensor_module_HC-SR501,pressure_sensor,proximity_sensor,push_button,raspberry_pi,raspberry_pi_pico,relay_module,resistor,rotary_encoder_module_hw-040,servo_motor,Sound_sensor,temperature_sensor,tilt_sensor,touch_sensor,ultrasonic_sensor,voltage_regulator,extra_components,summary
17,IR Sensor Obstacle Detection,2.0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,"Detect obstacles using an IR sensor and Arduino, suitable for basic robotic applications."
18,Temperature Monitoring with OLED Display,2.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,Monitor temperature and display the value on an OLED screen using Arduino.
19,Pressure Sensor Activated LED,2.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Activate an LED using a pressure sensor and Arduino for basic pressure detection.
20,Simple Proximity Sensor Detection,2.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Detect proximity using a sensor and Arduino to trigger an LED or buzzer.
21,Push Button Controlled Servo Motor,2.1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,Control a servo motor with a push button using Arduino for basic input/output control.
22,Sound Activated Relay Module,2.1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,"Use a sound sensor to activate a relay module, demonstrating sound-activated switching with Arduino."
23,LED Control via HC-05 Bluetooth Module,2.2,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Control an LED via Bluetooth using an HC-05 module and Arduino.
24,Temperature Controlled Fan with Arduino,2.3,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,Build a temperature-controlled fan using a temperature sensor and Arduino.
25,Touch Sensor Based Relay Control,2.4,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,Control a relay using a touch sensor and Arduino for touch-activated switching.
26,Proximity Sensor Activated Alarm,2.5,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Create an alarm system activated by a proximity sensor using Arduino.
27,Ultrasonic Sensor Based Obstacle Avoidance,2.6,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,Implement obstacle avoidance using an ultrasonic sensor and Arduino.
28,Temperature Logger using Raspberry Pi,2.7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,Log temperature data using a Raspberry Pi and display it on a screen.
29,IR Controlled Relay Module,2.8,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Control a relay module using an IR sensor and Arduino for remote control applications.
30,Bluetooth Controlled Servo Motor,2.9,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,Control a servo motor via Bluetooth using Arduino and an HC-05 module.
31,Light Sensing Relay Control,3.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,Control a relay based on ambient light using an LDR and Arduino.
32,OLED Display Data Logger,3.1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,Log data on an OLED display using Arduino for basic data visualization.
33,Temperature and Humidity Monitoring with Raspberry Pi,3.2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,,Monitor temperature and humidity using sensors and a Raspberry Pi.
34,Sound Activated Alarm System,3.3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,Use a sound sensor to activate an alarm system with Arduino.
35,Simple GPS Tracker with Arduino,3.4,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPS antenna,,Build a simple GPS tracker using an Arduino and a GPS module.
36,Proximity Sensor Controlled Relay,3.5,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Control a relay using a proximity sensor and Arduino for proximity-based switching.
37,Bluetooth Controlled DC Motor,3.6,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,Control a DC motor via Bluetooth using Arduino and an HC-05 module.
38,Rotary Encoder Controlled LED,3.7,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Control an LED with a rotary encoder and Arduino for position-based LED control.
39,Pressure Sensor Based Data Logger,3.8,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,Log pressure data using a sensor and Arduino.
40,Temperature Controlled Relay,3.9,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,Control a relay based on temperature using a sensor and Arduino.
41,Touch Sensor Based Servo Control,4.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,Control a servo motor using a touch sensor and Arduino.
42,Light Controlled DC Motor,4.1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Control a DC motor based on light levels using an LDR and Arduino.
43,Sound Sensor Based Relay Control,4.2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,Use a sound sensor to control a relay with Arduino for sound-activated switching.
44,Proximity Sensor Based Servo Motor,4.3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,Control a servo motor based on proximity detection using Arduino.
45,Simple Web Server with Raspberry Pi,4.4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Set up a simple web server using a Raspberry Pi for basic web-based applications.
46,Bluetooth Controlled Temperature Sensor,4.5,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,Control a temperature sensor via Bluetooth using Arduino and an HC-05 module.
47,LED Matrix Animation with Arduino,4.6,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Create animations on an LED matrix using Arduino.
48,MPU6050 Gyroscope and Accelerometer with Arduino,4.7,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,Use an MPU6050 module with Arduino to read gyroscope and accelerometer data.
49,Sound Activated Servo Motor,4.8,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,Control a servo motor based on sound detection using Arduino.
50,Proximity Sensor Based Temperature Logger,4.9,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,Log temperature data using a proximity sensor and Arduino.
51,Light Sensing Servo Motor,5.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,Control a servo motor based on light levels using an LDR and Arduino.
52,Temperature Monitoring with Raspberry Pi Pico,5.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Monitor temperature using a Raspberry Pi Pico and display the results.
53,Bluetooth Controlled Relay Module,5.2,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Control a relay module via Bluetooth using Arduino and an HC-05 module.
54,Pressure Sensor Based Relay Control,5.3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Control a relay based on pressure using a sensor and Arduino.
55,Proximity Sensor Based Light Control,5.4,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,Control lights based on proximity detection using a sensor and Arduino.
56,Sound Sensor Based Data Logger,5.5,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,Log data using a sound sensor and Arduino.
57,Light Sensing Relay Module,5.6,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Control a relay based on light levels using an LDR and Arduino.
58,Temperature Controlled Light,5.7,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,Control lights based on temperature using a sensor and Arduino.
59,Pressure Sensor Based Servo Motor,5.8,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,Control a servo motor based on pressure detection using Arduino.
60,Bluetooth Controlled Light,5.9,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Control lights via Bluetooth using Arduino and an HC-05 module.
61,Rotary Encoder Based Data Logger,6.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Log data using a rotary encoder and Arduino.
62,Temperature Monitoring with Jetson Nano,6.1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,Monitor temperature using a Jetson Nano and display the results.
63,Proximity Sensor Based Data Logger,6.2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,Log data based on proximity detection using a sensor and Arduino.
64,Sound Sensor Based Light Control,6.3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,Control lights based on sound detection using a sensor and Arduino.
65,Pressure Sensor Based Light Control,6.4,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,Control lights based on pressure using a sensor and Arduino.
66,Light Sensing Data Logger,6.5,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,Log data based on light levels using an LDR and Arduino.
67,Bluetooth Controlled Data Logger,6.6,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,Log data via Bluetooth using Arduino and an HC-05 module.
68,Temperature Controlled Servo Motor,6.7,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,Control a servo motor based on temperature using a sensor and Arduino.
69,Sound Sensor Based Servo Motor,6.9,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,Control a servo motor based on sound detection using Arduino.
70,Proximity Sensor Based Relay Module,7.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,Control a relay module based on proximity detection using Arduino.
71,Temperature Monitoring with Arduino and Bluetooth,7.1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,Monitor temperature using Arduino and transmit data via Bluetooth.
72,Pressure Sensor Based Relay Module,7.2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,Control a relay module based on pressure detection using Arduino.
73,Light Sensing Servo Module,7.3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,Control a servo motor based on light levels using an LDR and Arduino.
74,Sound Sensor Based Light,7.8,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Control lights based on sound detection using a sensor and Arduino.
75,Pressure Sensor Based Light,8.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,Control lights based on pressure detection using a sensor and Arduino.
76,Proximity Sensor Based Relay,8.5,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0,0.0,0.0,1.0,,,,,,,Control a relay module based on proximity detection using Arduino.
